id_left,arcades,cabaret,casinos,culturalcenter,festivals,galleries,jazzandblues,movietheaters,museums,musicvenues,opera,psychic_astrology,social_clubs,theater,wineries
1,0.0,0.0,0.0,0.0,0.0,3.6045820853100152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.350682248816191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.350682248816191,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,1.4570394910832756,0.0,0.0,0.0,1.4570394910832756,0.0,0.0,0.0,1.4570394910832756,0.0
6,0.0,3.0619328410557043,0.0,0.0,0.0,0.0,6.123865682111409,0.0,0.0,18.371597046334227,0.0,0.0,0.0,12.247731364222817,0.0
7,0.0,0.0,0.0,0.0,2.0248211453977096,0.0,0.0,0.0,0.0,2.0248211453977096,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.8638270059443601,0.0,0.0,0.0,0.8638270059443601,0.0,0.0,0.0,0.8638270059443601,0.0
9,0.0,0.0,0.0,0.0,0.0,6.7603260671301415,0.0,0.0,3.3801630335650708,10.140489100695213,0.0,0.0,0.0,3.3801630335650708,0.0
11,0.0,1.5253046843773823,0.0,0.0,0.0,1.5253046843773823,0.0,0.0,1.5253046843773823,1.5253046843773823,0.0,3.0506093687547646,0.0,1.5253046843773823,0.0
12,0.0,0.0,2.5368894555821777,0.0,0.0,5.073778911164355,0.0,2.5368894555821777,0.0,7.610668366746533,0.0,2.5368894555821777,2.5368894555821777,5.073778911164355,0.0
13,0.0,0.0,0.0,0.0,0.0,1.3051165473623427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,1.3679575282757652,0.0,0.0,1.3679575282757652,1.3679575282757652,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,10.14136946037044,2.897534131534411,0.0,0.0,1.4487670657672056,0.0,0.0,1.4487670657672056,0.0,0.0
18,0.0,0.0,2.1941566762847833,0.0,0.0,2.1941566762847833,6.582470028854351,0.0,0.0,8.776626705139133,0.0,0.0,2.1941566762847833,2.1941566762847833,0.0
19,0.0,0.0,0.0,0.0,0.0,3.0615314766760107,0.0,0.0,1.5307657383380053,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,9.044952930567355,4.5224764652836775,2.2612382326418388,0.0,4.5224764652836775,0.0,0.0,6.783714697925516,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5414369387571707,0.0,0.0,0.0,2.5414369387571707,0.0
22,0.0,0.0,0.0,0.0,0.0,5.635677676513817,0.0,0.0,0.0,2.8178388382569084,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,2.366930175005484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.183465087502742,0.0
24,0.0,0.0,0.0,0.0,0.0,2.202649890191534,0.0,0.0,0.0,3.671083150319223,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,2.4697114889016016,0.0,0.0,1.2348557444508008,0.0,0.0,0.0,1.2348557444508008,0.0,1.2348557444508008
26,0.0,0.0,0.0,0.7110260396058528,0.0,4.2661562376351165,0.0,0.7110260396058528,0.0,1.4220520792117055,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,4.628164089829816,1.5427213632766055,0.0,0.0,4.628164089829816,0.0,0.0,1.5427213632766055,3.085442726553211,1.5427213632766055
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62411157446428,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,2.7516274189157657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.560820769200303,0.0,0.0,0.0,2.2804103846001516,0.0
33,0.0,0.0,0.0,0.0,0.0,1.0062142344694864,0.0,1.0062142344694864,1.0062142344694864,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,6.700173104619344,2.871502759122576,0.0,0.0,6.700173104619344,0.0,0.0,0.957167586374192,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3530994080343302
37,0.0,0.0,0.0,0.0,0.0,5.118871321748062,0.0,0.0,1.0237742643496126,0.0,0.0,0.0,0.0,0.0,0.0
